biomarker	genome_id
g__Ruthenibacterium	1550024.406
g__Alistipes	538949.5211
g__Akkermansia	349741.6
g__UBA3857	Not found
g__Parabacteroides	823.5143
g__Agathobacter	39491.2717
g__Alistipes_A	Not found
g__Fusicatenibacter	Not found
g__Ruminococcus_D	Not found
g__CAG-83	Not found
g__Bifidobacterium	302911.168
g__Clostridium_AQ	Not found
g__Anaerotruncus	169435.96
g__Fimimonas	Not found
g__Scatomorpha	Not found
g__Dysosmobacter	2093857.296
g__Roseburia	301302.2593
g__Desulfovibrio	167968.4
g__Limosilactobacillus	47493.18
g__Haemophilus_D	Not found
g__Butyricimonas	544645.202
g__Enterocloster	208479.8
g__Cloacibacillus	508460.19
g__Faecalibacterium	2929489.4
g__Hungatella	154046.362
g__Clostridium_A	Not found
g__Copromorpha	Not found
g__Phil1	Not found
g__Longibaculum	2584943.3
g__Limiplasma	2952930.20
g__Gabonibacter	Not found
g__CAG-313	Not found
g__Bilophila	Not found
g__Lactobacillus	1584.289
g__Fimivivens	Not found
g__BX7	Not found
g__UBA1774	Not found
g__UBA2883	Not found
g__Spyradocola	Not found
g__Blautia_A	Not found
g__Anaerofustis	904996.10
g__CAG-302	Not found
g__Lachnoclostridium_B	Not found
g__Agathobaculum	3079302.3
g__Schaedlerella	Not found
g__NSJ-63	Not found
g__Scatosoma	Not found
g__Christensenella	1805714.3
g__CAG-41	Not found
g__Choladocola	Not found
g__Bacteroides	818.3367
g__Pararuminococcus	Not found
g__GCA-900199385	Not found
g__CAG-1427	Not found
g__UMGS1491	Not found
g__Bariatricus	Not found
g__Ventricola	Not found
g__Clostridium_Q	Not found
g__Eubacterium	39490.291
g__UBA737	Not found
g__Pseudobutyricicoccus	Not found
g__Ruminiclostridium_E	Not found
g__Methylobacterium	31998.82
g__Faecousia	Not found
g__CAG-266	Not found
g__Methanobrevibacter_A	Not found
g__Victivallis	Not found
g__CAG-177	Not found
g__Cryptobacteroides	Not found
g__Ventrimonas	Not found
g__Clostridium_AP	Not found
g__Lawsonibacter	2108523.138
g__Eggerthella	502558.4
g__Angelakisella	Not found
g__GCA-900066905	Not found
g__Oliverpabstia	Not found
g__Lachnospira	39485.1739
g__Dielma	Not found
g__Coprobacter	1099853.189
g__Odoribacter	709991.3
g__Lacticaseibacillus	1597.2081
g__Peptoniphilus_A	Not found
g__UBA1685	Not found
g__HGM11327	Not found
g__Massilistercora	2086584.3
g__Weissella	137591.87
g__Coprobacillus	Not found
g__Raoultibacter	1907662.33
g__Merdibacter	Not found
g__Eisenbergiella	2652274.19
g__Selenomonas_A	Not found
g__Scatomonas	3048880.4
g__Eubacterium_G	Not found
g__Harryflintia	Not found
g__Copromonas	Not found
g__UMGS1375	Not found
g__Ligilactobacillus	1622.1342
g__Collinsella	74426.148
g__Mesosutterella	Not found
g__Intestinimonas	1297617.82
