features,features_found,genome_coverage,genomes_searched,search_term,search_type,success,track_name
"[{'accession': 'NC_012483', 'end': 1435802, 'feature_type': 'CDS', 'gene': 'copA2', 'genome_id': '240015.3', 'genome_name': 'Acidobacterium capsulatum ATCC 51196', 'na_length': 1977, 'product': 'copper resistance protein A', 'refseq_locus_tag': 'ACP_1215', 'start': 1433826, 'strand': '-', 'taxon_id': 240015}, {'accession': 'NC_012483', 'end': 1435802, 'feature_type': 'CDS', 'gene': 'copA2', 'genome_id': '240015.3', 'genome_name': 'Acidobacterium capsulatum ATCC 51196', 'na_length': 1977, 'patric_id': 'fig|240015.3.peg.1175', 'product': 'Multicopper oxidase', 'refseq_locus_tag': 'ACP_1215', 'start': 1433826, 'strand': '-', 'taxon_id': 240015}, {'accession': 'NC_012483', 'end': 765048, 'feature_type': 'CDS', 'gene': 'copA1', 'genome_id': '240015.3', 'genome_name': 'Acidobacterium capsulatum ATCC 51196', 'na_length': 2034, 'product': 'copper resistance protein A', 'refseq_locus_tag': 'ACP_0674', 'start': 763015, 'strand': '-', 'taxon_id': 240015}, {'accession': 'NC_012483', 'end': 765048, 'feature_type': 'CDS', 'gene': 'copA1', 'genome_id': '240015.3', 'genome_name': 'Acidobacterium capsulatum ATCC 51196', 'na_length': 2034, 'patric_id': 'fig|240015.3.peg.650', 'product': 'Multicopper oxidase', 'refseq_locus_tag': 'ACP_0674', 'start': 763015, 'strand': '-', 'taxon_id': 240015}]",4,"{'224308.1': 0, '224324.1': 0, '224325.1': 0, '224326.1': 0, '224911.1': 0, '224914.1': 0, '226185.1': 0, '226186.1': 0, '226900.1': 0, '227882.1': 0, '228405.5': 0, '228410.1': 0, '228908.1': 0, '229193.1': 0, '232721.5': 0, '233412.1': 0, '234267.9': 0, '234826.3': 0, '235279.1': 0, '235909.3': 0, '237727.3': 0, '240015.3': 4, '240016.6': 0, '240292.3': 0, '243090.1': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'NC_005861', 'end': 138322, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '264201.15', 'genome_name': 'Candidatus Protochlamydia amoebophila UWE25', 'na_length': 2190, 'product': 'putative copper-transporting ATPase', 'refseq_locus_tag': 'pc0078', 'start': 136133, 'strand': '+', 'taxon_id': 264201}, {'accession': 'NC_005861', 'end': 138322, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '264201.15', 'genome_name': 'Candidatus Protochlamydia amoebophila UWE25', 'na_length': 2190, 'patric_id': 'fig|264201.15.peg.84', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'pc0078', 'start': 136133, 'strand': '+', 'taxon_id': 264201}]",2,"{'252305.5': 0, '257309.1': 0, '257310.1': 0, '257311.1': 0, '257313.1': 0, '257363.1': 0, '258594.1': 0, '259536.4': 0, '259564.8': 0, '261594.1': 0, '262543.4': 0, '262698.3': 0, '262723.3': 0, '262724.1': 0, '262768.1': 0, '263358.5': 0, '263820.1': 0, '264198.3': 0, '264201.15': 2, '264203.3': 0, '264462.1': 0, '264730.3': 0, '264731.4': 0, '264732.9': 0, '265072.7': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'BAGZ01000022', 'end': 118887, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1184607.3', 'genome_name': 'Austwickia chelonae NBRC 105200', 'na_length': 2430, 'product': 'copper-transporting ATPase CopA', 'refseq_locus_tag': 'AUCHE_22_01040', 'start': 116458, 'strand': '+', 'taxon_id': 1184607}, {'accession': 'BAGZ01000022', 'end': 118887, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1184607.3', 'genome_name': 'Austwickia chelonae NBRC 105200', 'na_length': 2430, 'patric_id': 'fig|1184607.3.peg.3003', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'AUCHE_22_01040', 'start': 116458, 'strand': '+', 'taxon_id': 1184607}, {'accession': 'HE999757', 'end': 3179428, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1234679.3', 'genome_name': 'Carnobacterium maltaromaticum LMA28', 'na_length': 2217, 'patric_id': 'fig|1234679.3.peg.3176', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'BN424_3348', 'start': 3177212, 'strand': '-', 'taxon_id': 1234679}, {'accession': 'HE999757', 'end': 3179428, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1234679.3', 'genome_name': 'Carnobacterium maltaromaticum LMA28', 'na_length': 2217, 'product': 'copper-translocating P-type ATPase', 'refseq_locus_tag': 'BN424_3348', 'start': 3177212, 'strand': '-', 'taxon_id': 1234679}]",4,"{'1171377.3': 0, '1172188.3': 0, '1173022.3': 0, '1173026.3': 0, '1179773.3': 0, '1184607.3': 2, '1185876.3': 0, '1191523.3': 0, '1193729.4': 0, '1195246.3': 0, '1199245.3': 0, '1203568.3': 0, '1203605.3': 0, '1206109.5': 0, '1208365.4': 0, '1209989.3': 0, '1215343.11': 0, '1218108.3': 0, '122587.1': 0, '1230341.3': 0, '123214.3': 0, '1234409.3': 0, '1234679.3': 2, '1235755.3': 0, '1235794.3': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'CAOS01000003', 'end': 61915, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1121428.3', 'genome_name': 'Desulfotomaculum hydrothermale Lam5 = DSM 18033', 'na_length': 2427, 'patric_id': 'fig|1121428.3.peg.315', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'DESHY_110070', 'start': 59489, 'strand': '-', 'taxon_id': 1121428}, {'accession': 'CAOS01000003', 'end': 61915, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1121428.3', 'genome_name': 'Desulfotomaculum hydrothermale Lam5 = DSM 18033', 'na_length': 2427, 'product': 'Copper-exporting P-type ATPase A', 'refseq_locus_tag': 'DESHY_110070', 'start': 59489, 'strand': '-', 'taxon_id': 1121428}, {'accession': 'NC_016943', 'end': 3230677, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1146883.3', 'genome_name': 'Blastococcus saxobsidens DD2', 'na_length': 2331, 'product': 'copper-transporting P-type ATPase', 'refseq_locus_tag': 'BLASA_3357', 'start': 3228347, 'strand': '+', 'taxon_id': 1146883}, {'accession': 'NC_016943', 'end': 3230677, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1146883.3', 'genome_name': 'Blastococcus saxobsidens DD2', 'na_length': 2331, 'patric_id': 'fig|1146883.3.peg.3124', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'BLASA_3357', 'start': 3228347, 'strand': '+', 'taxon_id': 1146883}, {'accession': 'CP003488', 'end': 1001840, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1157951.4', 'genome_name': 'Providencia stuartii MRSN 2154', 'na_length': 2946, 'product': 'copper exporting ATPase', 'refseq_locus_tag': 'S70_04860', 'start': 998895, 'strand': '+', 'taxon_id': 1157951}, {'accession': 'CP003488', 'end': 1001840, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1157951.4', 'genome_name': 'Providencia stuartii MRSN 2154', 'na_length': 2946, 'patric_id': 'fig|1157951.4.peg.962', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'S70_04860', 'start': 998895, 'strand': '+', 'taxon_id': 1157951}, {'accession': 'CP003493', 'end': 256570, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1171373.8', 'genome_name': 'Propionibacterium acidipropionici ATCC 4875', 'na_length': 2010, 'product': 'Copper-exporting ATPase CopA', 'refseq_locus_tag': 'PACID_02370', 'start': 254561, 'strand': '-', 'taxon_id': 1171373}, {'accession': 'CP003493', 'end': 256570, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1171373.8', 'genome_name': 'Propionibacterium acidipropionici ATCC 4875', 'na_length': 2010, 'patric_id': 'fig|1171373.8.peg.237', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'PACID_02370', 'start': 254561, 'strand': '-', 'taxon_id': 1171373}]",8,"{'1120961.3': 0, '1121428.3': 2, '1121451.3': 0, '1121862.3': 0, '1121876.3': 0, '1122132.3': 0, '1122135.3': 0, '1122137.3': 0, '1122228.3': 0, '1123236.3': 0, '1123502.3': 0, '1131462.4': 0, '1132443.3': 0, '1140.3': 0, '1146883.3': 2, '1147128.3': 0, '1148.1': 0, '1156986.4': 0, '115711.7': 0, '1157951.4': 2, '1162668.3': 0, '1163389.3': 0, '1166018.3': 0, '1169145.3': 0, '1171373.8': 2}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'NC_015856', 'end': 3504974, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1005048.3', 'genome_name': 'Collimonas fungivorans Ter331', 'na_length': 1371, 'patric_id': 'fig|1005048.3.peg.3063', 'product': 'Multicopper oxidase', 'refseq_locus_tag': 'CFU_2966', 'start': 3503604, 'strand': '+', 'taxon_id': 1005048}, {'accession': 'NC_015856', 'end': 3504974, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1005048.3', 'genome_name': 'Collimonas fungivorans Ter331', 'na_length': 1392, 'product': 'putative oxidase copper oxidase', 'refseq_locus_tag': 'CFU_2966', 'start': 3503583, 'strand': '+', 'taxon_id': 1005048}, {'accession': 'CP003218', 'end': 2832278, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1006551.4', 'genome_name': 'Klebsiella oxytoca KCTC 1686', 'na_length': 2502, 'product': 'copper exporting ATPase', 'refseq_locus_tag': 'KOX_13115', 'start': 2829777, 'strand': '-', 'taxon_id': 1006551}, {'accession': 'CP003218', 'end': 2832278, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1006551.4', 'genome_name': 'Klebsiella oxytoca KCTC 1686', 'na_length': 2502, 'patric_id': 'fig|1006551.4.peg.2637', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'KOX_13115', 'start': 2829777, 'strand': '-', 'taxon_id': 1006551}, {'accession': 'NC_015663', 'end': 2797099, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1028307.3', 'genome_name': 'Enterobacter aerogenes KCTC 2190', 'na_length': 2502, 'product': 'copper exporting ATPase', 'refseq_locus_tag': 'EAE_13050', 'start': 2794598, 'strand': '-', 'taxon_id': 1028307}, {'accession': 'NC_015663', 'end': 2797099, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1028307.3', 'genome_name': 'Enterobacter aerogenes KCTC 2190', 'na_length': 2502, 'patric_id': 'fig|1028307.3.peg.2604', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'EAE_13050', 'start': 2794598, 'strand': '-', 'taxon_id': 1028307}, {'accession': 'CP002901', 'end': 3356477, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1051632.5', 'genome_name': 'Sulfobacillus acidophilus TPY', 'na_length': 2427, 'patric_id': 'fig|1051632.5.peg.3521', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'TPY_3611', 'start': 3354051, 'strand': '-', 'taxon_id': 1051632}, {'accession': 'CP002901', 'end': 3356477, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1051632.5', 'genome_name': 'Sulfobacillus acidophilus TPY', 'na_length': 2427, 'product': 'copper-translocating P-type ATPase', 'refseq_locus_tag': 'TPY_3611', 'start': 3354051, 'strand': '-', 'taxon_id': 1051632}]",8,"{'100226.1': 0, '1002809.3': 0, '1005048.3': 2, '1005058.3': 0, '1006551.4': 2, '1007096.3': 0, '1007105.3': 0, '101510.15': 0, '1026882.3': 0, '1028307.3': 2, '103690.1': 0, '1045004.4': 0, '1048339.3': 0, '1049789.4': 0, '1051632.5': 2, '106370.11': 0, '1069080.3': 0, '1069534.5': 0, '1073972.4': 0, '1078846.3': 0, '1085623.3': 0, '1088868.3': 0, '1112215.3': 0, '1117647.4': 0, '1120924.3': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'NC_010528', 'end': 3304926, 'feature_type': 'CDS', 'gene': 'copA2', 'genome_id': '164546.7', 'genome_name': 'Cupriavidus taiwanensis strain LMG 19424', 'na_length': 2460, 'patric_id': 'fig|164546.7.peg.3091', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'RALTA_A3123', 'start': 3302467, 'strand': '-', 'taxon_id': 164546}, {'accession': 'NC_010528', 'end': 3304995, 'feature_type': 'CDS', 'gene': 'copA2', 'genome_id': '164546.7', 'genome_name': 'Cupriavidus taiwanensis strain LMG 19424', 'na_length': 2529, 'product': 'copper transporting P-type ATPase', 'refseq_locus_tag': 'RALTA_A3123', 'start': 3302467, 'strand': '-', 'taxon_id': 164546}, {'accession': 'NC_010530', 'end': 2136149, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '164546.7', 'genome_name': 'Cupriavidus taiwanensis strain LMG 19424', 'na_length': 1905, 'product': 'CopA Copper-resistance transmembrane precursor, Cupredoxin domains', 'refseq_locus_tag': 'RALTA_B1968', 'start': 2134245, 'strand': '-', 'taxon_id': 164546}, {'accession': 'NC_010530', 'end': 2136083, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '164546.7', 'genome_name': 'Cupriavidus taiwanensis strain LMG 19424', 'na_length': 1839, 'patric_id': 'fig|164546.7.peg.5404', 'product': 'Multicopper oxidase', 'refseq_locus_tag': 'RALTA_B1968', 'start': 2134245, 'strand': '-', 'taxon_id': 164546}, {'accession': 'NC_012108', 'end': 4843386, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '177437.4', 'genome_name': 'Desulfobacterium autotrophicum HRM2', 'na_length': 2481, 'patric_id': 'fig|177437.4.peg.4468', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'HRM2_43200', 'start': 4840906, 'strand': '+', 'taxon_id': 177437}, {'accession': 'NC_012108', 'end': 4843386, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '177437.4', 'genome_name': 'Desulfobacterium autotrophicum HRM2', 'na_length': 2481, 'product': 'CopA', 'refseq_locus_tag': 'HRM2_43200', 'start': 4840906, 'strand': '+', 'taxon_id': 177437}]",6,"{'160490.1': 0, '160491.17': 0, '160492.1': 0, '1627894.4': 0, '163164.1': 0, '1637502.3': 0, '164546.7': 4, '167555.5': 0, '167879.3': 0, '169963.1': 0, '171101.1': 0, '172733.999': 0, '176279.3': 0, '176299.3': 0, '177437.4': 2, '177439.1': 0, '178306.1': 0, '180281.4': 0, '1806462.22': 0, '182217.3': 0, '186497.1': 0, '187272.6': 0, '187303.17': 0, '187420.1': 0, '188937.1': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'NC_008380', 'end': 2565762, 'feature_type': 'sig_peptide', 'gene': 'copA', 'genome_id': '216596.11', 'genome_name': 'Rhizobium leguminosarum bv. viciae 3841', 'na_length': 69, 'product': 'hypothetical protein', 'refseq_locus_tag': 'RL2434', 'start': 2565694, 'strand': '-', 'taxon_id': 216596}, {'accession': 'NC_008380', 'end': 2565762, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '216596.11', 'genome_name': 'Rhizobium leguminosarum bv. viciae 3841', 'na_length': 1347, 'product': 'putative copper-containing oxidase subunit', 'refseq_locus_tag': 'RL2434', 'start': 2564416, 'strand': '-', 'taxon_id': 216596}, {'accession': 'NC_008380', 'end': 2565687, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '216596.11', 'genome_name': 'Rhizobium leguminosarum bv. viciae 3841', 'na_length': 1272, 'patric_id': 'fig|216596.11.peg.3665', 'product': 'Multicopper oxidase', 'refseq_locus_tag': 'RL2434', 'start': 2564416, 'strand': '-', 'taxon_id': 216596}]",3,"{'204773.3': 0, '2049040.8': 0, '205914.5': 0, '205921.3': 0, '205922.3': 0, '207559.3': 0, '207949.3': 0, '208964.1': 0, '209261.1': 0, '210007.1': 0, '211586.9': 0, '212042.5': 0, '212717.8': 0, '2144189.15': 0, '216432.7': 0, '216596.11': 3, '217.1': 0, '218491.3': 0, '218496.1': 0, '218497.4': 0, '219305.4': 0, '221109.1': 0, '221988.1': 0, '222891.5': 0, '223926.6': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
"[{'accession': 'CP003989', 'end': 1551589, 'feature_type': 'CDS', 'gene': 'copA [H]', 'genome_id': '1255043.3', 'genome_name': 'Thioalkalivibrio nitratireducens DSM 14787', 'na_length': 2520, 'patric_id': 'fig|1255043.3.peg.1581', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'TVNIR_1561', 'start': 1549070, 'strand': '+', 'taxon_id': 1255043}, {'accession': 'CP003989', 'end': 1551589, 'feature_type': 'CDS', 'gene': 'copA [H]', 'genome_id': '1255043.3', 'genome_name': 'Thioalkalivibrio nitratireducens DSM 14787', 'na_length': 2520, 'product': 'Copper-translocating P-type ATPase', 'refseq_locus_tag': 'TVNIR_1561', 'start': 1549070, 'strand': '+', 'taxon_id': 1255043}, {'accession': 'CP005383', 'end': 2439079, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1316932.3', 'genome_name': 'Mannheimia haemolytica M42548', 'na_length': 2193, 'patric_id': 'fig|1316932.3.peg.2567', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'MHH_c26040', 'start': 2436887, 'strand': '+', 'taxon_id': 1316932}, {'accession': 'CP005383', 'end': 2439079, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '1316932.3', 'genome_name': 'Mannheimia haemolytica M42548', 'na_length': 2193, 'product': 'copper-exporting P-type ATPase CopA', 'refseq_locus_tag': 'MHH_c26040', 'start': 2436887, 'strand': '+', 'taxon_id': 1316932}, {'accession': 'CP003170', 'end': 4127661, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '134676.3', 'genome_name': 'Actinoplanes sp. SE50/110', 'na_length': 2265, 'patric_id': 'fig|134676.3.peg.3628', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'ACPL_3715', 'start': 4125397, 'strand': '+', 'taxon_id': 134676}, {'accession': 'CP003170', 'end': 4127661, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '134676.3', 'genome_name': 'Actinoplanes sp. SE50/110', 'na_length': 2265, 'product': 'Cu2+-exporting ATPase', 'refseq_locus_tag': 'ACPL_3715', 'start': 4125397, 'strand': '+', 'taxon_id': 134676}, {'accession': 'NC_013855', 'end': 481543, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '137722.3', 'genome_name': 'Azospirillum sp. B510', 'na_length': 2481, 'product': 'Cu2+-exporting ATPase', 'refseq_locus_tag': 'AZL_a03850', 'start': 479063, 'strand': '+', 'taxon_id': 137722}, {'accession': 'NC_013855', 'end': 481543, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '137722.3', 'genome_name': 'Azospirillum sp. B510', 'na_length': 2352, 'patric_id': 'fig|137722.3.peg.3570', 'product': 'Lead, cadmium, zinc and mercury transporting ATPase (EC 3.6.3.3) (EC 3.6.3.5); Copper-translocating P-type ATPase (EC 3.6.3.4)', 'refseq_locus_tag': 'AZL_a03850', 'start': 479192, 'strand': '+', 'taxon_id': 137722}]",8,"{'1238674.3': 0, '1248916.3': 0, '1255043.3': 2, '1260251.3': 0, '1278308.3': 0, '1279017.3': 0, '1279038.3': 0, '1298593.3': 0, '13035.3': 0, '1303518.3': 0, '1316932.3': 2, '134287.3': 0, '134676.3': 2, '137722.3': 2, '138119.3': 0, '142586.28': 0, '1519439.626': 0, '1538.8': 0, '155920.1': 0, '156586.3': 0, '156889.7': 0, '158878.1': 0, '158879.1': 0, '159087.4': 0, '160488.1': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
[],0,"{'190192.1': 0, '190304.1': 0, '190485.1': 0, '190486.1': 0, '190650.1': 0, '192952.1': 0, '194439.1': 0, '195099.3': 0, '195103.9': 0, '196162.6': 0, '196164.1': 0, '196627.4': 0, '197221.1': 0, '198094.1': 0, '198215.1': 0, '203119.11': 0, '203120.4': 0, '203122.12': 0, '203123.5': 0, '203124.6': 0, '203267.1': 0, '203275.8': 0, '203907.1': 0, '204536.4': 0, '204669.6': 0}",25,copA,gene,False,Full_Genome_1_Term_Test
"[{'accession': 'NC_006569', 'end': 415635, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '246200.7', 'genome_name': 'Ruegeria pomeroyi DSS-3', 'na_length': 1944, 'product': 'copper resistance protein A', 'refseq_locus_tag': 'SPOA0370', 'start': 413692, 'strand': '-', 'taxon_id': 246200}, {'accession': 'NC_006569', 'end': 415539, 'feature_type': 'CDS', 'gene': 'copA', 'genome_id': '246200.7', 'genome_name': 'Ruegeria pomeroyi DSS-3', 'na_length': 1848, 'patric_id': 'fig|246200.7.peg.4368', 'product': 'Multicopper oxidase', 'refseq_locus_tag': 'SPOA0370', 'start': 413692, 'strand': '-', 'taxon_id': 246200}]",2,"{'243090.15': 0, '243160.4': 0, '243161.4': 0, '243164.3': 0, '243230.1': 0, '243231.1': 0, '243232.1': 0, '243233.4': 0, '243265.1': 0, '243273.1': 0, '243274.1': 0, '243275.1': 0, '243276.1': 0, '243277.1': 0, '243365.1': 0, '244592.3': 0, '246194.3': 0, '246195.3': 0, '246196.19': 0, '246197.19': 0, '246200.7': 2, '246201.1': 0, '247156.1': 0, '247639.3': 0, '251221.1': 0}",25,copA,gene,True,Full_Genome_1_Term_Test
