search_term,genome_id,success,count,error,accession,patric_id,product,start,end,strand,feature_type,gene,locus_tag,protein_id,function,subsystem
sodA,NC,TRUE,1,,NC_005027,,Mn family superoxide dismutase,3555061,3555747,+,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_005027,fig|243090.15.peg.3243,Superoxide dismutase [Mn] (EC 1.15.1.1),3555124,3555747,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,HE796683,,"superoxide dismutase, Fe-Mn family",3531885,3532580,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,HE796683,fig|1166018.3.peg.4619,Superoxide dismutase [Mn] (EC 1.15.1.1),3531885,3532580,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP003493,,Superoxide dismutase,2670958,2671578,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CP003493,fig|1171373.8.peg.2490,Superoxide dismutase [Mn] (EC 1.15.1.1),2670958,2671578,+,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,HE804045,fig|1179773.3.peg.545,Superoxide dismutase [Mn/Fe] (EC 1.15.1.1),548416,549045,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,HE804045,,"Superoxide dismutase, Mn-dependent",548416,549045,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CAIT01000009,fig|1185876.3.peg.4412,Superoxide dismutase [Mn] (EC 1.15.1.1),397321,398022,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,CAIT01000009,,"superoxide dismutase, Fe-Mn family",397321,398022,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,HE999757,,superoxide dismutase [Mn],2075372,2075980,-,CDS,sodA,,,,
sodA,Unknown,TRUE,1,,HE999757,fig|1234679.3.peg.2053,Superoxide dismutase [Mn] (EC 1.15.1.1),2075372,2075980,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012483,,"superoxide dismutase, Mn",2640339,2640950,-,CDS,sodA,,,,
sodA,NC,TRUE,1,,NC_012483,fig|240015.3.peg.2180,Superoxide dismutase [Mn] (EC 1.15.1.1),2640339,2640950,-,CDS,sodA,,,,
